venue_i,venue_j,date,lag,fake_t0,beta_delta,se_delta,t_stat,p_delta,significant
BYBITSPOT,BITGET,2025-09-04,6,2025-09-04 12:00:00,0.002201964958968447,0.017352346052624135,0.12689724791625231,0.8990236226351787,False
BITGET,BINANCE,2025-09-04,1,2025-09-04 12:00:00,-0.010285454026938699,0.017781782520912455,-0.5784264887303835,0.5629855906069545,False
BITGET,BINANCE,2025-09-04,3,2025-09-04 12:00:00,-0.007869330696454528,0.01778401829188261,-0.4424945233016561,0.658138283085344,False
BITGET,BINANCE,2025-09-04,6,2025-09-04 12:00:00,-0.005382840088226006,0.017777647450591995,-0.3027869746650172,0.762056746923415,False
BITGET,COINBASE,2025-09-04,1,2025-09-04 12:00:00,0.01706163318226732,0.01600005080970561,1.0663486875877766,0.2862846627437241,False
BITGET,COINBASE,2025-09-04,3,2025-09-04 12:00:00,-0.006950486829101108,0.016010813800252037,-0.4341120267722866,0.6642138663350043,False
BITGET,COINBASE,2025-09-04,6,2025-09-04 12:00:00,0.0002730668693491766,0.01601454724074139,0.017051176361357754,0.9863960350035006,False
BITGET,BYBITSPOT,2025-09-04,1,2025-09-04 12:00:00,-0.007047730068217078,0.017069425913630535,-0.41288618046546127,0.6796965861062856,False
BITGET,BYBITSPOT,2025-09-04,3,2025-09-04 12:00:00,-0.009005066870967374,0.01707620719607391,-0.5273458425263065,0.597962143087845,False
BITGET,BYBITSPOT,2025-09-04,6,2025-09-04 12:00:00,-0.02670329009584084,0.017080104434917996,-1.5634149192466016,0.11797857027195024,False
BINANCE,COINBASE,2025-09-05,1,2025-09-05 12:00:00,-0.14102479177114305,0.016185204785095667,-8.713191686088974,0.0,True
BINANCE,COINBASE,2025-09-05,3,2025-09-05 12:00:00,-0.028859980263864438,0.01626282734102055,-1.7745979625000048,0.07599417830719579,False
BINANCE,COINBASE,2025-09-05,6,2025-09-05 12:00:00,0.012242712366548537,0.01618403383450251,0.7564685350847744,0.449385849821595,False
BINANCE,BYBITSPOT,2025-09-05,1,2025-09-05 12:00:00,-0.011559536762169493,0.017857707978429737,-0.6473135732834369,0.5174442257264347,False
BINANCE,BYBITSPOT,2025-09-05,3,2025-09-05 12:00:00,-0.021442657626629433,0.017861161568464606,-1.2005186529686995,0.2299670883131364,False
BINANCE,BYBITSPOT,2025-09-05,6,2025-09-05 12:00:00,-0.0330156680577558,0.017846084888406732,-1.8500230310572832,0.06434043262374867,False
BINANCE,BITGET,2025-09-05,1,2025-09-05 12:00:00,-0.0028590602989058073,0.01802197735246864,-0.15864298589378567,0.8739535830663101,False
BINANCE,BITGET,2025-09-05,3,2025-09-05 12:00:00,-0.016712847031315252,0.01802683504329536,-0.9271093340109743,0.35389369036640295,False
BINANCE,BITGET,2025-09-05,6,2025-09-05 12:00:00,-0.013849107513050934,0.018037408047542055,-0.7677992024435097,0.44262588177304885,False
COINBASE,BINANCE,2025-09-05,1,2025-09-05 12:00:00,-0.034345299835564724,0.07043468358116707,-0.48761914002191986,0.6258301343606307,False
COINBASE,BINANCE,2025-09-05,3,2025-09-05 12:00:00,-0.07265375344581683,0.07044321726998956,-1.0313803977372993,0.30238697665522163,False
COINBASE,BINANCE,2025-09-05,6,2025-09-05 12:00:00,-0.0644467434523481,0.07049662816491348,-0.9141819279865014,0.36064292703802603,False
COINBASE,BYBITSPOT,2025-09-05,1,2025-09-05 12:00:00,-0.01051333939665331,0.01585893275151998,-0.6629285565036317,0.5073857732392684,False
COINBASE,BYBITSPOT,2025-09-05,3,2025-09-05 12:00:00,0.004249521114874061,0.015856000150860878,0.26800713133465376,0.788697253303356,False
COINBASE,BYBITSPOT,2025-09-05,6,2025-09-05 12:00:00,-0.017452104465043042,0.015862149307636412,-1.1002357957027418,0.27124580826410116,False
COINBASE,BITGET,2025-09-05,1,2025-09-05 12:00:00,0.006617060295110133,0.01687369720082828,0.3921523668674889,0.6949513671356562,False
COINBASE,BITGET,2025-09-05,3,2025-09-05 12:00:00,-0.04184269816870127,0.016871719392985776,-2.4800494362238443,0.013147621565325895,True
COINBASE,BITGET,2025-09-05,6,2025-09-05 12:00:00,0.008330260128210587,0.016880565679905236,0.4934822852605584,0.6216792897675409,False
BYBITSPOT,BINANCE,2025-09-05,1,2025-09-05 12:00:00,-0.018415330387472707,0.037321812980964895,-0.4934200382190707,0.6217269162012355,False
BYBITSPOT,BINANCE,2025-09-05,3,2025-09-05 12:00:00,0.023048185556092955,0.03736785413326277,0.6167917877729231,0.537386445943445,False
BYBITSPOT,BINANCE,2025-09-05,6,2025-09-05 12:00:00,0.031038605385784693,0.03738735570897405,0.8301899077161674,0.40645172419338005,False
BYBITSPOT,COINBASE,2025-09-05,1,2025-09-05 12:00:00,-0.023346157383246857,0.015506449110970273,-1.5055772740859326,0.1321952842462324,False
BYBITSPOT,COINBASE,2025-09-05,3,2025-09-05 12:00:00,-0.014240457822296798,0.015509475559507234,-0.9181779079285157,0.3585394488168685,False
BYBITSPOT,COINBASE,2025-09-05,6,2025-09-05 12:00:00,-0.03206928194925298,0.015508568440990937,-2.06784282322862,0.03867070275873763,True
BYBITSPOT,BITGET,2025-09-05,1,2025-09-05 12:00:00,0.005108608260929508,0.017308244052370813,0.295154623742999,0.7678800775446901,False
BYBITSPOT,BITGET,2025-09-05,3,2025-09-05 12:00:00,0.029483519353275804,0.017314805207726235,1.7027924368516505,0.08862880353554292,False
BYBITSPOT,BITGET,2025-09-05,6,2025-09-05 12:00:00,-0.04233881431078038,0.017313952191596798,-2.4453581621490916,0.01448290069948266,True
BITGET,BINANCE,2025-09-05,1,2025-09-05 12:00:00,0.08050324199071981,0.03400020085137355,2.367728424388635,0.017917884230202574,True
BITGET,BINANCE,2025-09-05,3,2025-09-05 12:00:00,-0.02390306741712682,0.03405896645139171,-0.7018142330079454,0.4828124823912794,False
BITGET,BINANCE,2025-09-05,6,2025-09-05 12:00:00,0.04596577840551051,0.03407601303492098,1.348918911329355,0.17739568722713606,False
BITGET,COINBASE,2025-09-05,1,2025-09-05 12:00:00,-0.009161778187616659,0.015824130058038257,-0.5789751571817187,0.5626148776686806,False
BITGET,COINBASE,2025-09-05,3,2025-09-05 12:00:00,0.01124338393185052,0.015826489669277206,0.7104155227596975,0.477457862754773,False
BITGET,COINBASE,2025-09-05,6,2025-09-05 12:00:00,0.0034755141073601233,0.015826328793409963,0.2196033048932559,0.8261831928319956,False
BITGET,BYBITSPOT,2025-09-05,1,2025-09-05 12:00:00,-0.003576464660213244,0.016230166223599837,-0.22035909003894275,0.8255946707092803,False
BITGET,BYBITSPOT,2025-09-05,3,2025-09-05 12:00:00,-0.019122735284968655,0.016231567075731413,-1.1781200912855767,0.23876847617598407,False
BITGET,BYBITSPOT,2025-09-05,6,2025-09-05 12:00:00,-0.00021600201300277407,0.01623289987665813,-0.013306434133396654,0.9893835019599315,False
BINANCE,COINBASE,2025-09-06,1,2025-09-06 12:00:00,-0.03180923670583707,0.01384361577848249,-2.2977549518008895,0.021587829850760798,True
BINANCE,COINBASE,2025-09-06,3,2025-09-06 12:00:00,-0.031410894637228196,0.013875997819581517,-2.2636854693722857,0.023606024074261267,True
BINANCE,COINBASE,2025-09-06,6,2025-09-06 12:00:00,-0.00665753569242189,0.013876435470568148,-0.47977275623430027,0.6313951654491174,False
BINANCE,BYBITSPOT,2025-09-06,1,2025-09-06 12:00:00,-0.0015698544840359943,0.016357923644375924,-0.09596905561884876,0.9235464319333369,False
BINANCE,BYBITSPOT,2025-09-06,3,2025-09-06 12:00:00,3.281310331793973e-05,0.01635792721777035,0.0020059450614435662,0.9983995151771956,False
BINANCE,BYBITSPOT,2025-09-06,6,2025-09-06 12:00:00,0.005583182853431975,0.016350570252580708,0.3414671639694492,0.7327567095364502,False
BINANCE,BITGET,2025-09-06,1,2025-09-06 12:00:00,-0.004094545758637809,0.017759418862686317,-0.23055629186384657,0.8176630440857664,False
BINANCE,BITGET,2025-09-06,3,2025-09-06 12:00:00,0.009765928068624415,0.0177581959019142,0.5499392011759326,0.5823702377629556,False
