ts,venue,msgs_last_30s,last_tick_exchange_ts,last_tick_local_ts,lag_ms,gaps_last_30s
2025-09-28T00:05:26.066033,bybit,107,,,0,0
2025-09-28T00:05:26.066572,binance,78,1759010725014,1759010725124,0,0
2025-09-28T00:05:26.066572,coinbase,210,,,0,0
2025-09-28T00:05:26.066572,kraken,22,,,0,0
2025-09-28T00:05:26.066572,okx,429,,,0,0
2025-09-28T00:05:26.066572,bybit,107,,,0,0
2025-09-28T00:05:26.067073,binance,78,1759010725014,1759010725124,0,0
2025-09-28T00:05:26.067073,coinbase,210,,,0,0
2025-09-28T00:05:26.067073,kraken,22,,,0,0
2025-09-28T00:05:26.067073,okx,429,,,0,0
2025-09-28T00:05:26.067073,bybit,107,,,0,0
2025-09-28T00:05:26.067509,binance,78,1759010725014,1759010725124,0,0
2025-09-28T00:05:26.067509,coinbase,210,,,0,0
2025-09-28T00:05:26.067509,kraken,22,,,0,0
2025-09-28T00:05:26.067509,okx,429,,,0,0
2025-09-28T00:05:26.067509,bybit,107,,,0,0
2025-09-28T00:05:31.074554,binance,83,1759010730016,1759010730127,0,0
2025-09-28T00:05:31.074554,coinbase,213,,,0,0
2025-09-28T00:05:31.074554,kraken,24,,,0,0
2025-09-28T00:05:31.074554,okx,452,,,0,0
2025-09-28T00:05:31.074554,bybit,113,,,0,0
2025-09-28T00:05:31.075365,binance,83,1759010730016,1759010730127,0,0
2025-09-28T00:05:31.075365,coinbase,213,,,0,0
2025-09-28T00:05:31.075365,kraken,24,,,0,0
2025-09-28T00:05:31.075365,okx,452,,,0,0
2025-09-28T00:05:31.075365,bybit,113,,,0,0
2025-09-28T00:05:31.075851,binance,83,1759010730016,1759010730127,0,0
2025-09-28T00:05:31.075851,coinbase,213,,,0,0
2025-09-28T00:05:31.075851,kraken,24,,,0,0
2025-09-28T00:05:31.075851,okx,452,,,0,0
2025-09-28T00:05:31.075851,bybit,113,,,0,0
2025-09-28T00:05:31.076342,binance,83,1759010730016,1759010730127,0,0
2025-09-28T00:05:31.076342,coinbase,213,,,0,0
2025-09-28T00:05:31.076342,kraken,24,,,0,0
2025-09-28T00:05:31.076342,okx,452,,,0,0
2025-09-28T00:05:31.076342,bybit,113,,,0,0
2025-09-28T00:05:31.076793,binance,83,1759010730016,1759010730127,0,0
2025-09-28T00:05:31.076793,coinbase,213,,,0,0
2025-09-28T00:05:31.076793,kraken,24,,,0,0
2025-09-28T00:05:31.076793,okx,452,,,0,0
2025-09-28T00:05:31.076793,bybit,113,,,0,0
2025-09-28T00:05:36.140205,binance,88,1759010735014,1759010735123,0,0
2025-09-28T00:05:36.140205,coinbase,231,,,0,0
2025-09-28T00:05:36.140205,kraken,24,,,0,0
2025-09-28T00:05:36.140205,okx,483,,,0,0
2025-09-28T00:05:36.140205,bybit,118,,,0,0
2025-09-28T00:05:36.141118,binance,88,1759010735014,1759010735123,0,0
2025-09-28T00:05:36.141118,coinbase,231,,,0,0
2025-09-28T00:05:36.141118,kraken,24,,,0,0
2025-09-28T00:05:36.141118,okx,483,,,0,0
2025-09-28T00:05:36.141118,bybit,118,,,0,0
2025-09-28T00:05:36.141318,binance,88,1759010735014,1759010735123,0,0
2025-09-28T00:05:36.141318,coinbase,231,,,0,0
2025-09-28T00:05:36.141318,kraken,24,,,0,0
2025-09-28T00:05:36.141318,okx,483,,,0,0
2025-09-28T00:05:36.141318,bybit,118,,,0,0
2025-09-28T00:05:36.141482,binance,88,1759010735014,1759010735123,0,0
2025-09-28T00:05:36.141482,coinbase,231,,,0,0
2025-09-28T00:05:36.141482,kraken,24,,,0,0
2025-09-28T00:05:36.141482,okx,483,,,0,0
2025-09-28T00:05:36.141482,bybit,118,,,0,0
2025-09-28T00:05:36.141642,binance,88,1759010735014,1759010735123,0,0
2025-09-28T00:05:36.141642,coinbase,231,,,0,0
2025-09-28T00:05:36.141642,kraken,24,,,0,0
2025-09-28T00:05:36.141642,okx,483,,,0,0
2025-09-28T00:05:36.141642,bybit,118,,,0,0
2025-09-28T00:05:41.143325,binance,94,1759010741016,1759010741127,0,0
2025-09-28T00:05:41.143325,coinbase,303,,,0,0
2025-09-28T00:05:41.143325,kraken,24,,,0,0
2025-09-28T00:05:41.143325,okx,524,,,0,0
2025-09-28T00:05:41.143325,bybit,134,,,0,0
2025-09-28T00:05:41.144224,binance,94,1759010741016,1759010741127,0,0
2025-09-28T00:05:41.144224,coinbase,303,,,0,0
